page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,subregion_0,subregion_1,subregion_2
Julius Gregr,Czech Republic,395521877,,,,,,,,,
Edvard Gregr,Czech Republic,395526568,,,,,,,,,
Miroslav Poche,Czech Republic,672862914,,,,,,,,,
Vojtěch Mynář,Czech Republic,673008587,,,,,,,,,
Jan Malypetr,Czech Republic,704424304,,,,,,,,,
Emanuel Moravec,Czech Republic,705080136,,,,,,,,,
Vladimír Hučín,Czech Republic,707597623,,,,,,,,,
Pavla Topolánková,Czech Republic,709676840,,,,,,,,,
Josef Barák,Czech Republic,711675761,,,,,,,,,
Antonín Švehla,Czech Republic,712426548,,,,,,,,,
Jakob Marzel Sternberger,Czech Republic,713698544,,,,,,,,,
Alois Anderka,Czech Republic,714174726,,,,,,,,,
Ivan Dejmal,Czech Republic,715467197,,,,,,,,,
Franz Macoun,Czech Republic,715640391,,,,,,,,,
Karel Urbánek,Czech Republic,716711851,,,,,,,,,
Vladimír Klokočka,Czech Republic,717429365,,,,,,,,,
Jaromír Jermář,Czech Republic,720027362,,,,,,,,,
Artur London,Czech Republic,721736524,,,,,,,,,
František Sláma (politician),Czech Republic,722937211,,,,,,,,,
Jan Kubice,Czech Republic,723151837,,,,,,,,,
Kamil Jankovský,Czech Republic,723207013,,,,,,,,,
Václav Vacek,Czech Republic,724691268,,,,,,,,,
Čestmír Císař,Czech Republic,725362978,,,,,,,,,
Luca Rovinalti,Czech Republic,726666131,,,,,,,,,
Kamil Krofta,Czech Republic,726762194,,,,,,,,,
Milan Štěch,Czech Republic,728506208,,,,,,,,,
Antonín Janoušek,Czech Republic,729912438,,,,,,,,,
Bedřich Geminder,Czech Republic,730146355,,,,,,,,,
Karel Domin,Czech Republic,735174171,,,,,,,,,
Hubert Ripka,Czech Republic,737562321,,,,,,,,,
Tomáš Eduard Šilinger,Czech Republic,741588720,,,,,,,,,
Petr Janyška,Czech Republic,741798984,,,,,,,,,
Jana Juřenčáková,Czech Republic,743423675,,,,,,,,,
Jaromír Nečas,Czech Republic,744448745,,,,,,,,,
Siegfried Taub,Czech Republic,744612257,,,,,,,,,
Záviš Kalandra,Czech Republic,746707985,,,,,,,,,
Alois Rašín,Czech Republic,749575931,,,,,,,,,
Bedřich Reicin,Czech Republic,749945936,,,,,,,,,
Bernd Richter,Czech Republic,751718674,,,,,,,,,
Kamil Kalina,Czech Republic,753045804,,,,,,,,,
Richard Sacher,Czech Republic,755428089,,,,,,,,,
Václav Fischer,Czech Republic,756317863,,,,,,,,,
Božena Viková-Kunětická,Czech Republic,757336278,,,,,,,,,
Mikuláš of Hus,Czech Republic,758942647,,,,,,,,,
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334,,,,,,,,,
Petr Mlsna,Czech Republic,765838180,,,,,,,,,
Antonín Cyril Stojan,Czech Republic,768047769,,,,,,,,,
František Kubka,Czech Republic,768676716,,,,,,,,,
Josef Pfitzner,Czech Republic,773853256,,,,,,,,,
Vladimír Franz,Czech Republic,774595725,,,,,,,,,
Jan Stocklassa,Czech Republic,776095794,,,,,,,,,
Jaroslav Krejčí,Czech Republic,776197284,,,,,,,,,
Libuše Benešová,Czech Republic,776338134,,,,,,,,,
Daniela Filipiová,Czech Republic,776338195,,,,,,,,,
Moses Porges von Portheim,Czech Republic,776487173,,,,,,,,,
Jan Kasl,Czech Republic,776508129,,,,,,,,,
Jiří Kittner,Czech Republic,776509425,,,,,,,,,
Miloslav Vlček,Czech Republic,776513404,,,,,,,,,
Ivo Svoboda (politician),Czech Republic,776513552,,,,,,,,,
Hana Orgoníková,Czech Republic,776513802,,,,,,,,,
Pavel Dostál,Czech Republic,776514175,,,,,,,,,
Jiří Lobkowicz,Czech Republic,776751749,,,,,,,,,
Bohuslav Kokotek,Czech Republic,777876483,,,,,,,,,
Alena Hanáková,Czech Republic,778095433,,,,,,,,,
Irena Kočí,Czech Republic,779417455,,,,,,,,,
Martin Netolický,Czech Republic,779417738,,,,,,,,,
David Rath,Czech Republic,779418369,,,,,,,,,
Eva Nováková,Czech Republic,779498276,,,,,,,,,
Vojtěch Adam,Czech Republic,779500408,,,,,,,,,
Vlastimil Balín,Czech Republic,779500749,,,,,,,,,
Jiří Dolejš,Czech Republic,779500957,,,,,,,,,
Zuzka Bebarová-Rujbrová,Czech Republic,779501010,,,,,,,,,
Marie Stiborová,Czech Republic,779501096,,,,,,,,,
Jiří Svoboda (politician),Czech Republic,779501161,,,,,,,,,
Miloslava Vostrá,Czech Republic,779501194,,,,,,,,,
Jiří Čeřovský,Czech Republic,779501654,,,,,,,,,
Jan Korger,Czech Republic,779501783,,,,,,,,,
Kateřina Jacques,Czech Republic,779581127,,,,,,,,,
Tomáš Chalupa,Czech Republic,779839245,,,,,,,,,
Pavel Blažek,Czech Republic,779839319,,,,,,,,,
Aleš Řebíček,Czech Republic,779839400,,,,,,,,,
Ivan Langer,Czech Republic,779839455,,,,,,,,,
Jan Stráský,Czech Republic,779839492,,,,,,,,,
Jan Chvojka,Czech Republic,779842639,,,,,,,,,
Marie Benešová,Czech Republic,779847262,,,,,,,,,
Juraj Chmiel,Czech Republic,779847492,,,,,,,,,
